x,S,I,R,D
0.0,0.999,0.001,0.0,0.0
0.8080808080808081,0.9986274016596827,0.0013231704127501349,4.663012034630761e-05,2.7978072207784564e-06
1.6161616161616161,0.998134636691506,0.001750538120864279,0.00010832564870705642,6.499538922423384e-06
2.4242424242424243,0.997483174048007,0.00231549240061547,0.000189937312620006,1.1396238757200358e-05
3.2323232323232323,0.9966222073941217,0.0030620437066015225,0.00029787632007218054,1.7872579204330837e-05
4.040404040404041,0.9954849723338792,0.004047997970165665,0.00044059405278770134,2.6435643167262087e-05
4.848484848484849,0.9939838938033798,0.005349130698017745,0.0006292221684928245,3.775333010956947e-05
5.656565656565657,0.9920043327864826,0.007064549022536128,0.0008784133877180435,5.270480326308261e-05
6.4646464646464645,0.9893969487563737,0.009323211263902401,0.0012073962072866652,7.24437724371999e-05
7.2727272727272725,0.9859680870534344,0.01229208181543402,0.001641350123709142,9.84810074225485e-05
8.080808080808081,0.981468371338853,0.016185715317351166,0.0022131257960338324,0.00013278754776202998
8.88888888888889,0.975579554751388,0.021277135714308358,0.002965386353116717,0.00017792318118700306
9.696969696969697,0.9679004003037814,0.02790920457466861,0.003953202944858475,0.00023719217669150846
10.505050505050505,0.9579333310300104,0.0365047632015173,0.005247080913653085,0.0003148248548191851
11.313131313131313,0.9450748105268353,0.047572666137586955,0.006936342769413005,0.00041618056616478036
12.121212121212121,0.9286150441573158,0.06170443121106907,0.00913257040718406,0.0005479542244310436
12.929292929292929,0.9077543672383092,0.0795546472856479,0.01197262780758767,0.00071835766845526
13.737373737373737,0.8816470226417261,0.10179537112255846,0.015620383241240961,0.0009372229944744575
14.545454545454545,0.84948256524764,0.1290355533832738,0.02026592581989263,0.0012159555491935577
15.353535353535353,0.8106116860432091,0.1617003669111629,0.02612070476002642,0.0015672422856015849
16.161616161616163,0.7647110769506361,0.19987741405299492,0.03340708395883864,0.0020044250375303176
16.96969696969697,0.7119611891590643,0.24315690870092266,0.04234141711321991,0.002540485026793194
17.77777777777778,0.6531873305434373,0.2905146435306884,0.05311134521308894,0.003186680712785335
18.585858585858585,0.5898997738082224,0.3402989489089366,0.06585026158758565,0.003951015695255139
19.393939393939394,0.524183350151738,0.39036564300154014,0.08061415740256773,0.004836849444154064
20.2020202020202,0.4584354169887543,0.43835563815498757,0.09736692910967745,0.005842015746580647
21.01010101010101,0.3950155370624901,0.4820470117768296,0.1159787275100757,0.0069587236506045425
21.818181818181817,0.3359118698933165,0.5196755719026143,0.13623826245666898,0.008174295747400138
22.626262626262626,0.28251976111795923,0.5501318981936638,0.1578757931022424,0.009472547586134542
23.434343434343432,0.235574623231061,0.5729990466235311,0.18059087749566782,0.010835452649740066
24.242424242424242,0.19521950196269616,0.5884570067109558,0.2040787654022149,0.01224472592413289
25.05050505050505,0.16115145122983676,0.597114216571204,0.22805125679147079,0.013683075407488242
25.858585858585858,0.132787765944564,0.5998268962273959,0.2522503187056979,0.01513501912234187
26.666666666666668,0.10941146080005294,0.5975463680520131,0.276454878441447,0.016587292706486814
27.474747474747474,0.09027821625037183,0.5912105287461138,0.30048231604105113,0.018028938962463062
28.282828282828284,0.07468378605185501,0.581678552581571,0.3241864729873337,0.019451188379240016
29.09090909090909,0.061999414032938543,0.5696996188929843,0.3474537425227141,0.02084722455136284
29.8989898989899,0.051685006766964706,0.5559046899734971,0.370198399301451,0.022211903958087052
30.707070707070706,0.04328869653997672,0.5408119304584655,0.3923578990580733,0.023541473943484385
31.515151515151516,0.03643924086455432,0.5248388901511191,0.4138885556455911,0.02483331333873546
32.323232323232325,0.030835312346391655,0.5083172162195865,0.4347617655037942,0.026085705930227642
33.13131313131313,0.026234306083203644,0.4915072066680737,0.45496083702709683,0.0272976502216258
33.93939393939394,0.022441851334855163,0.4746110654209857,0.474478380419018,0.028468702825141072
34.74747474747475,0.019302623418078882,0.4577843269777702,0.49331419773976487,0.029598851864385888
35.55555555555556,0.016692607375473022,0.4411453810242139,0.5114735958493518,0.030688415750961102
36.36363636363636,0.01451273359435456,0.4247832554648444,0.5289660480573593,0.03173796288344155
37.17171717171717,0.012683751351576369,0.408763860868754,0.5458041394147825,0.03274824836488694
